Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	84	8348	8813	9124	9116	9440	9907	10210	10350	10996	11141	11180	10827	11668	12734	13455	13025	14015	18468	17120	16665	16348	16192	16114	16759	17158	17375
1	85	7278	7460	7955	8258	8273	8590	9037	9335	9483	10094	10244	10297	9987	10778	11780	12466	12083	13018	17175	15942	15535	15255	15124	15066	15682	16068
1	86	6022	6417	6651	7113	7406	7441	7747	8173	8465	8618	9191	9345	9409	9141	9880	10814	11462	11125	12003	15856	14739	14378	14135	14028	13988	14573
1	87	5219	5231	5645	5868	6295	6575	6628	6922	7323	7606	7763	8295	8451	8525	8297	8982	9848	10454	10162	10979	14522	13520	13205	12996	12912	12888
1	88	4448	4467	4537	4912	5124	5515	5780	5848	6127	6502	6772	6930	7422	7577	7658	7467	8098	8893	9456	9207	9961	13193	12302	12030	11854	11791
1	89	3623	3748	3820	3892	4227	4426	4781	5029	5108	5370	5717	5971	6127	6579	6731	6816	6658	7235	7959	8477	8267	8959	11884	11099	10868	10723
1	90	3053	2999	3153	3224	3296	3593	3776	4095	4324	4410	4653	4971	5209	5360	5770	5917	6005	5876	6399	7052	7524	7350	7979	10603	9916	9723
1	91	2249	2474	2475	2611	2680	2750	3009	3176	3459	3668	3757	3980	4268	4488	4632	4999	5139	5227	5125	5593	6176	6602	6461	7026	9352	8759
1	92	1866	1780	1998	2006	2124	2188	2255	2478	2627	2875	3063	3152	3354	3611	3811	3946	4271	4402	4488	4410	4823	5337	5717	5606	6107	8143
1	93	1401	1439	1403	1581	1593	1694	1753	1814	2003	2134	2348	2514	2601	2780	3007	3186	3310	3594	3714	3796	3739	4099	4546	4880	4795	5233
1	94	985	1050	1105	1081	1223	1238	1322	1375	1430	1587	1700	1881	2025	2107	2264	2460	2618	2730	2974	3082	3159	3119	3428	3811	4100	4037
1	95	487	716	784	828	813	924	939	1008	1054	1102	1230	1325	1476	1598	1673	1808	1975	2111	2210	2416	2512	2582	2556	2817	3140	3386
1	96	324	343	519	571	605	596	681	695	750	789	830	932	1011	1133	1235	1302	1415	1555	1670	1756	1927	2010	2072	2057	2273	2541
1	97	235	221	242	367	405	431	426	489	502	545	577	611	690	754	851	935	993	1086	1200	1296	1369	1508	1578	1632	1625	1801
1	98	140	155	151	166	252	279	298	296	342	353	386	411	438	499	549	625	692	740	815	906	984	1045	1156	1214	1260	1258
1	99	105	89	102	100	110	168	187	200	200	232	241	266	285	306	351	390	447	500	539	598	669	731	780	867	914	952
1	100	65	64	57	65	64	71	108	121	130	131	153	159	177	191	207	240	269	311	351	382	427	481	529	568	634	671
1	101	34	38	39	35	40	39	44	67	75	81	82	97	101	114	124	135	158	179	210	239	263	296	336	372	402	451
1	102	18	19	22	23	20	23	23	26	40	45	49	50	59	62	71	77	85	101	115	137	157	175	199	228	254	276
1	103	10	9	10	12	13	11	13	13	15	23	26	28	29	34	36	42	46	52	62	71	86	100	113	129	150	168
1	104	4	5	5	5	6	7	6	7	7	8	12	14	15	16	19	20	24	26	30	37	42	52	61	70	81	95
1	105 - 109	2	3	3	3	3	4	5	5	6	6	7	9	11	12	13	16	19	22	25	28	35	42	52	64	76	91
1	110 and over	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	27384	27213	27003	26751	26815	26944	27037	27093	27105	27080	27023	26943	26821	26661	26488	26293	26092	25902	25733	25589	25460	25343	25256	25205	25186	25185
